"","ypchtotcor","v13","v29","p6"
"1109",379430,3,99,8
"1110",379430,3,99,8
"1111",520833,3,1,3
"1112",566697,1,2,4
"1113",566697,1,2,4
"1114",310740,1,2,4
"1115",310740,1,2,4
"1116",192832,1,4,6
"1117",192832,1,4,6
"1118",192832,1,4,6
"1119",192832,1,4,6
"1120",192832,1,4,6
"1121",150000,2,1,8
"1122",150000,2,1,8
"1123",259792,1,3,7
"1124",259792,1,3,7
"1125",259792,1,3,7
"1126",259792,1,3,7
"1127",316667,1,7,8
"1128",316667,1,7,8
"1129",316667,1,7,8
"1130",243789,3,2,10
"1131",243789,3,2,10
"1132",243789,3,2,10
"1133",243789,3,2,10
"1134",200179,9,1,6
"1135",200179,9,1,6
"1136",200179,9,1,6
"1137",200179,9,1,6
"1138",346245,3,99,6
